Stage Number,Time since start of test (s),Time since start of stage (s),Radial Pressure (kPa),Radial Volume (mm3),Back Pressure (kPa),Back Volume (mm3),Load Cell (kN),Pore Pressure (kPa),Axial Displacement (mm),L/C Pressure (kPa),L/C Volume (mm3),Local Axial 1,Local Axial 2,Local Radial,Base Pressure (kPa),Base Volume (mm3),Back Differential Pressure (kPa),Axial Displacement 2 (mm),Pore Air Pressure (kPa),Pore Air Volume (mm3),Atmospheric Pressure (kPa),Temperature (°C),Mid Plane PWP (kPa),Back to Cell Differential (kPa),Total Volume Change (mm3),Undefined Tx 1,Undefined Tx 2,Undefined Tx 3,Undefined Tx. 4,HCA secondary control axial load (kN),HCA secondary control torque,Internal Cell Pr. (kPa),Internal Cell Vol. (mm3),Rotational Displ. (mm),Torque,Local Int Defmn 1 (mm),Local Int Defmn 2 (mm),Circumf. Defmn 1 (mm),Circumf. Defmn 2 (mm),Circumf. Defmn 3 (mm),Outer Cell Pr 2 (kPa),Internal cell Pr 2 (kPa),Rotation 2 (°),Secondary Cell Pr (kPa),Secondary Back Pr (kPa),Axial Force (kN),Axial Strain (%),Av Diameter Change (mm),Radial Strain (%),Axial Stress (kPa),Eff. Axial Stress (kPa),Eff. Radial Stress (kPa),Deviator Stress (kPa),Total Stress Ratio (%),Eff. Stress Ratio (%),Current Area (mm2),Shear Strain (%),Cambridge p (kPa),Eff. Cambridge p' (kPa),Max Shear Stress t,Volume Change (mm3),B Value,Mean Stress s/Eff. Axial Stress 2,Excess PWP (kPa),PWP Ratio,Lower Chamber Displacement (mm),Lower Chamber Axial Load (kPa),Specimen Air Volume (mm3),Matric Suction (kPa),Voids ratio,Degree of Saturation (°),Specimen Water Volume (mm3),kRT constant,Permeability IN,Permeability OUT,HCA Outer Rad,HCA Inner Rad,HCA Sigma Z (kPa),HCA Sigma R (kPa),HCA Sigma Theta (kPa),HCA Tau Theta Z,HCA Ez,HCA Er,HCA Etheta,HCA Gamma,HCA Sigma1,HCA Sigma2,HCA Sigma3,HCA Eff Sigma1,HCA Eff Sigma2,HCA Eff Sigma3,HCA E1,HCA E2,HCA E3,HCA P,HCA Eff P,HCA Q,HCA B,HCA Eff R,HCA Alpha,HCA Ev,HCA E1 rtv
1,0,0,573.7543,104513.9,478,0,0.0922,478.3654,0.0027,0,0,0.0528,0.0522,0.0518,0,0,0,7.5817,0,0,100,0,0,0,0,0,0,0,0,0,0,581.1422,16064.11,0.0045,4.4054,0,0,0,0,0,0,0,0,0,0,4.5985,0.0014,0.0007,0.0007,585.4915,107.1261,95.3889,11.7372,1.0205,1.123,7854.085,0.0014,577.6667,99.3013,5.8686,0,0.0568,101.2575,0.3654,0.0034,0,0,1525243,-478.3654,0,0,0,1.53E+08,0,0,49.7363,29.5581,588.0625,576.5082,562.9321,21.6383,0.0014,-0.8831,0.8898,0.0016,600.5193,576.5082,550.4753,122.1539,98.1428,72.1099,0.8898,-0.8831,0.0014,575.8342,97.4689,50.044,0.5202,1.694,29.9283,0.0081,89.9991
1,0,0,573.8408,104529.8,479,0,0.0931,478.5097,0.0036,0,0,0.0528,0.0522,0.0518,0,0,0,7.5805,0,0,100,0,0,0,0,0,0,0,0,0,0,580.4224,16019.04,0.0056,4.4689,0,0,0,0,0,0,0,0,0,0,4.6001,0.0019,0.0009,0.0009,585.6923,107.1826,95.3311,11.8515,1.0207,1.1243,7854.124,0.0019,577.7913,99.2816,5.9258,0,0.4759,101.2569,-0.4903,-0.0046,0,0,1525243,-478.5097,0,0,0,1.53E+08,0,0,49.7372,29.5594,588.768,576.2943,564.1991,21.9495,0.0019,-0.8812,0.887,0.002,601.6368,576.2943,551.3302,123.1271,97.7846,72.8205,0.887,-0.8812,0.0019,576.4205,97.9107,50.3066,0.4962,1.6908,30.3828,0.0077,89.9989
1,0.2,0.2,573.9062,104535,479,0,0.0944,478.2616,0.0023,0,0,0.0528,0.0522,0.0518,0,0,0,7.5779,0,0,100,0,0,0,0,0,0,0,0,0,0,580.3762,16007.15,0.031,4.9446,0,0,0,0,0,0,0,0,0,0,4.6019,0.0012,0.0006,0.0006,585.9256,107.664,95.6446,12.0194,1.0209,1.1257,7854.069,0.0012,577.9127,99.6511,6.0097,0,-0.2257,101.6543,-0.7384,-0.0069,0,0,1525243,-478.2616,0,0,0,1.53E+08,0,0,49.7372,29.5596,589.153,576.3181,564.4278,24.286,0.0012,-0.8802,0.8868,0.0113,604.0419,576.3181,549.5389,125.7803,98.0565,71.2773,0.8869,-0.8802,0.0011,576.633,98.3714,54.503,0.4913,1.7647,31.511,0.0078,89.9936
1,0.4,0.4,574.1042,104549,479,0,0.0957,478.2456,0.001,0,0,0.0528,0.0522,0.0518,0,0,0,7.5766,0,0,100,0,0,0,0,0,0,0,0,0,0,580.1829,15997.77,0.0528,5.4211,0,0,0,0,0,0,0,0,0,0,4.6047,0.0005,0.0002,0.0002,586.2862,108.0406,95.8586,12.182,1.0212,1.1271,7854.014,0.0005,578.1649,99.9193,6.091,0,-0.1775,101.9496,-0.7544,-0.007,0,0,1525243,-478.2456,0,0,0,1.53E+08,0,0,49.7372,29.5598,589.8233,576.3702,565.1989,26.6266,0.0005,-0.8792,0.8865,0.0192,606.8465,576.3702,548.1757,128.6009,98.1246,69.9301,0.8867,-0.8792,0.0003,577.1308,98.8852,58.6708,0.4806,1.839,32.592,0.0078,89.9892
1,0.6,0.6,574.0237,104543.5,479,0,0.0928,478.1326,0.0002,0,0,0.0528,0.0522,0.0518,0,0,0,7.5678,0,0,100,0,0,0,0,0,0,0,0,0,0,579.732,15996.51,0.0785,5.9156,0,0,0,0,0,0,0,0,0,0,4.6012,0.0001,0.0001,0.0001,585.8429,107.7103,95.8911,11.8192,1.0206,1.1233,7853.983,0.0001,577.9634,99.8308,5.9096,0,-0.4245,101.8007,-0.8674,-0.0081,0,0,1525243,-478.1326,0,0,0,1.53E+08,0,0,49.7371,29.5598,589.3683,576.1516,565.661,29.0556,0.0001,-0.8787,0.8867,0.0286,608.8951,576.1516,546.1342,130.7625,98.019,68.0016,0.8872,-0.8787,-0.0004,577.0603,98.9277,62.7609,0.4783,1.9229,33.9032,0.0081,89.9839
1,0.8,0.8,573.8896,104542.6,479,0,0.0945,478.0963,0.0008,0,0,0.0528,0.0522,0.0518,0,0,0,7.5775,0,0,100,0,0,0,0,0,0,0,0,0,0,579.472,15999.01,0.109,6.3764,0,0,0,0,0,0,0,0,0,0,4.6018,0.0004,0.0002,0.0002,585.9175,107.8212,95.7933,12.0279,1.021,1.1256,7854.006,0.0004,577.8989,99.8026,6.014,0,-0.6688,101.8073,-0.9037,-0.0084,0,0,1525243,-478.0963,0,0,0,1.53E+08,0,0,49.7372,29.5598,589.6411,575.9706,565.7114,31.3187,0.0004,-0.8792,0.8865,0.0397,611.2026,575.9706,544.1499,133.1063,97.8743,66.0536,0.8874,-0.8792,-0.0005,577.1077,99.0114,67.0527,0.4746,2.0151,34.5457,0.0077,89.9776
1,1,1,573.889,104535.9,479,0,0.0922,478.0329,0.0021,0,0,0.0528,0.0522,0.0518,0,0,0,7.5665,0,0,100,0,0,0,0,0,0,0,0,0,0,579.916,16004.65,0.1485,6.8257,0,0,0,0,0,0,0,0,0,0,4.5996,0.0011,0.0006,0.0006,585.6333,107.6004,95.8561,11.7443,1.0205,1.1225,7854.062,0.0011,577.8038,99.7709,5.8722,0,-0.8364,101.7283,-0.9671,-0.009,0,0,1525243,-478.0329,0,0,0,1.53E+08,0,0,49.7372,29.5597,588.94,576.1356,565.0594,33.5254,0.0011,-0.8797,0.8867,0.0541,612.588,576.1356,541.4114,134.5551,98.1027,63.3785,0.8883,-0.8797,-0.0005,576.7117,98.6788,71.1766,0.4879,2.123,35.1981,0.0081,89.9695
1,1.2,1.2,573.9981,104538.1,479,0,0.0933,478.2722,0.0044,0,0,0.0528,0.0522,0.0518,0,0,0,7.5855,0,0,100,0,0,0,0,0,0,0,0,0,0,580.0181,16010.91,0.2008,7.2185,0,0,0,0,0,0,0,0,0,0,4.6016,0.0023,0.0012,0.0012,585.8809,107.6087,95.7259,11.8828,1.0207,1.1241,7854.156,0.0023,577.959,99.6868,5.9414,0,-0.1617,101.6673,-0.7278,-0.0068,0,0,1525243,-478.2722,0,0,0,1.53E+08,0,0,49.7374,29.5597,589.2716,576.2422,565.179,35.4542,0.0023,-0.8807,0.8864,0.0731,614.6702,576.2422,539.7805,136.398,97.97,61.5083,0.8894,-0.8807,-0.0007,576.8976,98.6254,74.8897,0.4869,2.2176,35.6169,0.008,89.9587
1,1.4,1.4,573.8976,104530,479,0,0.0927,478.5794,0.0085,0,0,0.0528,0.0522,0.0518,0,0,0,7.5794,0,0,100,0,0,0,0,0,0,0,0,0,0,580.1693,16016.54,0.2726,7.5617,0,0,0,0,0,0,0,0,0,0,4.6003,0.0044,0.0022,0.0022,585.7031,107.1237,95.3182,11.8055,1.0206,1.1239,7854.321,0.0044,577.8328,99.2534,5.9028,0,0.5855,101.2209,-0.4206,-0.0039,0,0,1525243,-478.5794,0,0,0,1.53E+08,0,0,49.7379,29.5599,588.9139,576.2355,564.7098,37.1386,0.0044,-0.8821,0.8855,0.0992,615.8725,576.2355,537.7512,137.2931,97.6561,59.1718,0.891,-0.8821,-0.0011,576.6197,98.0403,78.1213,0.4926,2.3202,35.9756,0.0078,89.9439
1,1.6,1.6,573.6925,104542.7,479,0,0.0926,479.3372,0.0153,0,0,0.0528,0.0522,0.0518,0,0,0,7.59,0,0,100,0,0,0,0,0,0,0,0,0,0,580.1174,16021.55,0.3689,7.8718,0,0,0,0,0,0,0,0,0,0,4.5987,0.0079,0.004,0.004,585.4789,106.1417,94.3553,11.7864,1.0205,1.1249,7854.596,0.0079,577.6213,98.2841,5.8932,0,5.348,100.2485,0.3372,0.0032,0,0,1525243,-479.3372,0,0,0,1.53E+08,0,0,49.7386,29.5602,588.6047,576.0875,564.2805,38.6599,0.0079,-0.8841,0.8842,0.1343,616.9705,576.0875,535.9148,137.6333,96.7503,56.5776,0.8944,-0.8841,-0.0023,576.3243,96.9871,81.0557,0.4956,2.4326,36.2684,0.008,89.9238
