Stage Number,Time since start of test (s),Time since start of stage (s),Radial Pressure (kPa),Radial Volume (mm3),Back Pressure (kPa),Back Volume (mm3),Load Cell (kN),Pore Pressure (kPa),Axial Displacement (mm),L/C Pressure (kPa),L/C Volume (mm3),Local Axial 1,Local Axial 2,Local Radial,Base Pressure (kPa),Base Volume (mm3),Back Differential Pressure (kPa),Axial Displacement 2 (mm),Pore Air Pressure (kPa),Pore Air Volume (mm3),Atmospheric Pressure (kPa),Temperature (°C),Mid Plane PWP (kPa),Back to Cell Differential (kPa),Total Volume Change (mm3),Undefined Tx 1,Undefined Tx 2,Undefined Tx 3,Undefined Tx. 4,HCA secondary control axial load (kN),HCA secondary control torque,Internal Cell Pr. (kPa),Internal Cell Vol. (mm3),Rotational Displ. (mm),Torque,Local Int Defmn 1 (mm),Local Int Defmn 2 (mm),Circumf. Defmn 1 (mm),Circumf. Defmn 2 (mm),Circumf. Defmn 3 (mm),Outer Cell Pr 2 (kPa),Internal cell Pr 2 (kPa),Rotation 2 (°),Secondary Cell Pr (kPa),Secondary Back Pr (kPa),Axial Force (kN),Axial Strain (%),Av Diameter Change (mm),Radial Strain (%),Axial Stress (kPa),Eff. Axial Stress (kPa),Eff. Radial Stress (kPa),Deviator Stress (kPa),Total Stress Ratio (%),Eff. Stress Ratio (%),Current Area (mm2),Shear Strain (%),Cambridge p (kPa),Eff. Cambridge p' (kPa),Max Shear Stress t,Volume Change (mm3),B Value,Mean Stress s/Eff. Axial Stress 2,Excess PWP (kPa),PWP Ratio,Lower Chamber Displacement (mm),Lower Chamber Axial Load (kPa),Specimen Air Volume (mm3),Matric Suction (kPa),Voids ratio,Degree of Saturation (°),Specimen Water Volume (mm3),kRT constant,Permeability IN,Permeability OUT,HCA Outer Rad,HCA Inner Rad,HCA Sigma Z (kPa),HCA Sigma R (kPa),HCA Sigma Theta (kPa),HCA Tau Theta Z,HCA Ez,HCA Er,HCA Etheta,HCA Gamma,HCA Sigma1,HCA Sigma2,HCA Sigma3,HCA Eff Sigma1,HCA Eff Sigma2,HCA Eff Sigma3,HCA E1,HCA E2,HCA E3,HCA P,HCA Eff P,HCA Q,HCA B,HCA Eff R,HCA Alpha,HCA Ev,HCA E1 rtv
1,0,0,567.6933,86520.77,471,0,0.0842,472.0692,-0.0006,0,0,0.0528,0.0522,0.0518,0,0,0,4.305,0,0,100,0,0,0,0,0,0,0,0,0,0,574.5339,85745.82,0.0034,4.3258,0,0,0,0,0,0,0,0,0,0,4.5428,-0.0003,-0.0002,-0.0002,578.4095,106.3403,95.6241,10.7162,1.0189,1.1121,7853.951,-0.0003,571.2654,99.1962,5.3581,0,0.412,100.9822,1.0692,0.0101,0,0,1541658,-472.0692,0,0,0,1.54E+08,0,0,48.5895,27.5853,581.1911,570.1705,558.7094,22.0368,-0.0003,-4.7809,5.0216,0.0012,594.6884,570.1705,545.2121,122.6192,98.1013,73.1429,5.0216,-4.7809,-0.0003,570.0237,97.9545,49.4763,0.5045,1.6764,31.4871,0.2404,89.9999
1,0,0,567.8506,86561.73,471,0,0.0938,472.2321,0.0033,0,0,0.0528,0.0522,0.0518,0,0,0,4.3032,0,0,100,0,0,0,0,0,0,0,0,0,0,574.2746,85749.55,0.0113,4.4443,0,0,0,0,0,0,0,0,0,0,4.5538,0.0017,0.0008,0.0008,579.7985,107.5664,95.6185,11.9479,1.021,1.125,7854.108,0.0017,571.8333,99.6012,5.974,0,3.0162,101.5925,1.2321,0.0115,0,0,1541658,-472.2321,0,0,0,1.54E+08,0,0,48.59,27.5855,583.456,570.1769,559.4138,22.6397,0.0017,-4.7823,5.0206,0.0039,597.0682,570.1769,545.8017,124.8361,97.9448,73.5696,5.0206,-4.7823,0.0017,571.0156,98.7835,51.2665,0.4755,1.6968,31.0164,0.24,89.9996
1,0.2,0.2,567.7647,86563.56,471,0,0.0935,472.2291,0.0015,0,0,0.0528,0.0522,0.0518,0,0,0,4.3025,0,0,100,0,0,0,0,0,0,0,0,0,0,574.1623,85738.91,0.0461,4.879,0,0,0,0,0,0,0,0,0,0,4.5527,0.0008,0.0004,0.0004,579.6636,107.4345,95.5356,11.8989,1.021,1.1245,7854.038,0.0008,571.731,99.5019,5.9495,0,-2.2937,101.485,1.2291,0.0114,0,0,1541658,-472.2291,0,0,0,1.54E+08,0,0,48.5899,27.5857,583.3231,570.0815,559.3625,24.8544,0.0008,-4.781,5.0205,0.016,598.9339,570.0815,543.7516,126.7048,97.8524,71.5225,5.0205,-4.781,0.0008,570.9223,98.6932,55.1823,0.4771,1.7715,32.1325,0.2403,89.9984
1,0.4,0.4,567.6735,86574.55,471,0,0.0947,472.1748,0.0004,0,0,0.0528,0.0522,0.0518,0,0,0,4.3042,0,0,100,0,0,0,0,0,0,0,0,0,0,574.0392,85735.78,0.0643,5.2998,0,0,0,0,0,0,0,0,0,0,4.5532,0.0002,0.0001,0.0001,579.7307,107.5559,95.4987,12.0572,1.0212,1.1263,7853.991,0.0002,571.6926,99.5178,6.0286,0,-0.4039,101.5273,1.1748,0.0109,0,0,1541658,-472.1748,0,0,0,1.54E+08,0,0,48.5898,27.5857,583.486,569.9788,559.3132,26.9983,0.0002,-4.7805,5.0206,0.0223,600.9798,569.9788,541.8194,128.805,97.804,69.6446,5.0206,-4.7805,0.0002,570.926,98.7512,59.1604,0.476,1.8495,32.9416,0.2403,89.9978
1,0.6,0.6,567.9975,86578.5,471,0,0.0942,472.1748,-0.0003,0,0,0.0528,0.0522,0.0518,0,0,0,4.307,0,0,100,0,0,0,0,0,0,0,0,0,0,573.8685,85735.78,0.0821,5.7376,0,0,0,0,0,0,0,0,0,0,4.5552,-0.0002,-0.0001,-0.0001,579.9877,107.8129,95.8227,11.9902,1.0211,1.1251,7853.959,-0.0002,571.9942,99.8194,5.9951,0,0.3051,101.8178,1.1748,0.0109,0,0,1541658,-472.1748,0,0,0,1.54E+08,0,0,48.5897,27.5856,583.9458,570.1236,560.2869,29.2287,-0.0002,-4.7805,5.0209,0.0285,603.6481,570.1236,540.5845,131.4733,97.9488,68.4097,5.021,-4.7805,-0.0003,571.4521,99.2773,63.0636,0.4684,1.9219,33.9829,0.2402,89.9972
1,0.8,0.8,567.7775,86583.24,471,0,0.0923,472.0183,-0.0008,0,0,0.0528,0.0522,0.0518,0,0,0,4.3049,0,0,100,0,0,0,0,0,0,0,0,0,0,574.3021,85736.41,0.1024,6.2063,0,0,0,0,0,0,0,0,0,0,4.5516,-0.0004,-0.0002,-0.0002,579.5305,107.5122,95.7592,11.753,1.0207,1.1227,7853.943,-0.0004,571.6952,99.6769,5.8765,0,2.8302,101.6357,1.0183,0.0095,0,0,1541658,-472.0183,0,0,0,1.54E+08,0,0,48.5897,27.5856,583.037,570.1403,559.2085,31.6163,-0.0004,-4.7805,5.0209,0.0356,604.9094,570.1403,537.3361,132.8911,98.122,65.3178,5.021,-4.7805,-0.0005,570.7953,98.777,67.5733,0.4855,2.0345,34.6758,0.24,89.9965
1,1,1,567.8506,86578.13,471,0,0.0932,471.9757,-0.001,0,0,0.0528,0.0522,0.0518,0,0,0,4.2995,0,0,100,0,0,0,0,0,0,0,0,0,0,574.0173,85736.41,0.1271,6.5365,0,0,0,0,0,0,0,0,0,0,4.5531,-0.0005,-0.0003,-0.0003,579.7221,107.7464,95.8749,11.8715,1.0209,1.1238,7853.936,-0.0005,571.8078,99.8321,5.9358,0,-3.7917,101.8107,0.9757,0.0091,0,0,1541658,-471.9757,0,0,0,1.54E+08,0,0,48.5896,27.5855,583.4594,570.0837,559.7516,33.2986,-0.0005,-4.7805,5.0212,0.0441,606.951,570.0837,536.2599,134.9753,98.108,64.2842,5.0214,-4.7805,-0.0007,571.0982,99.1225,70.6911,0.4785,2.0997,35.2024,0.2402,89.9956
1,1.2,1.2,567.8138,86584.14,471,0,0.0933,471.9164,-0.0006,0,0,0.0528,0.0522,0.0518,0,0,0,4.302,0,0,100,0,0,0,0,0,0,0,0,0,0,574.2534,85735.78,0.1541,6.8858,0,0,0,0,0,0,0,0,0,0,4.5529,-0.0003,-0.0002,-0.0002,579.6955,107.7791,95.8974,11.8817,1.0209,1.1239,7853.951,-0.0003,571.7744,99.858,5.9409,0,-236.5,101.8382,0.9164,0.0085,0,0,1541658,-471.9164,0,0,0,1.54E+08,0,0,48.5897,27.5856,583.3126,570.1458,559.3563,35.0778,-0.0003,-4.7805,5.0209,0.0535,608.401,570.1458,534.2679,136.4846,98.2294,62.3515,5.0212,-4.7805,-0.0006,570.9382,99.0218,74.1331,0.484,2.189,35.5732,0.2401,89.9947
1,1.4,1.4,568.142,86575.83,471,0,0.0928,471.753,0.0002,0,0,0.0528,0.0522,0.0518,0,0,0,4.2895,0,0,100,0,0,0,0,0,0,0,0,0,0,574.063,85735.78,0.1865,7.18,0,0,0,0,0,0,0,0,0,0,4.555,0.0001,0.0001,0.0001,579.9605,108.2075,96.389,11.8185,1.0208,1.1226,7853.983,0.0001,572.0815,100.3285,5.9093,0,-1.1106,102.2982,0.753,0.007,0,0,1541658,-471.753,0,0,0,1.54E+08,0,0,48.5898,27.5857,583.788,570.2862,560.3657,36.5764,0.0001,-4.7805,5.0206,0.0648,610.4824,570.2862,533.6714,138.7294,98.5332,61.9184,5.021,-4.7805,-0.0003,571.48,99.727,76.811,0.4767,2.2405,36.1229,0.2402,89.9936
1,1.6,1.6,567.8846,86582.99,471,0,0.0936,471.5632,0.0015,0,0,0.0528,0.0522,0.0518,0,0,0,4.3196,0,0,100,0,0,0,0,0,0,0,0,0,0,573.919,85738.1,0.2236,7.4356,0,0,0,0,0,0,0,0,0,0,4.5538,0.0008,0.0004,0.0004,579.8037,108.2405,96.3214,11.9191,1.021,1.1237,7854.038,0.0008,571.8576,100.2944,5.9596,0,-7.7496,102.281,0.5632,0.0052,0,0,1541658,-471.5632,0,0,0,1.54E+08,0,0,48.5899,27.5857,583.6356,570.0699,559.9593,37.8782,0.0008,-4.781,5.0205,0.0776,611.4825,570.0699,532.1125,139.9193,98.5067,60.5493,5.0211,-4.781,0.0002,571.2216,99.6584,79.37,0.4782,2.3108,36.3221,0.2403,89.9923
